#frequency
Kollegen#14132
Menschen#12817
Kolleginnen#12778
Herr#8997
Euro#7744
Frau#7578
Liebe#7056
Herren#6615
Damen#6561
Land#5200
Antrag#4802
Weg#4723
Frage#4701
Thema#4659
Millionen#4380
Prozent#4265
Präsident#4075
Arbeit#3869
Stelle#3750
Präsidentin#3706
Debatte#3475
Bereich#3461
Gesetz#3429
Geld#3401
Milliarden#3064
Zukunft#3019
Bundesregierung#2860
Koalition#2796
Unternehmen#2748
Gesetzentwurf#2742
Punkt#2658
Länder#2636
Kollege#2631
Frauen#2502
Kinder#2474
Bundestag#2444
Haushalt#2389
Verantwortung#2374
Politik#2354
Ländern#2310
Gesellschaft#2300
Ziel#2266
Situation#2212
Kommunen#2203
Union#2174
Maßnahmen#2133
Sicherheit#2078
Schritt#2055
Welt#2048
Fall#2013
Bildung#2007
Seite#2000
Aufgabe#1954
Koalitionsvertrag#1951
Grünen#1941
Parlament#1935
Leben#1884
Blick#1839
Unterstützung#1787
Demokratie#1773
Problem#1756
Entwicklung#1737
Bund#1727
Verfügung#1640
Wirtschaft#1605
Rede#1585
Fragen#1539
Regierung#1526
Bürger#1518
Rahmen#1512
Lage#1480
Ort#1389
Sozialdemokraten#1379
Aufmerksamkeit#1377
Haus#1352
Sicht#1352
Bürgerinnen#1350
Minister#1347
Möglichkeit#1336
Beitrag#1332
Probleme#1323
Staat#1313
Schutz#1299
Kollegin#1281
Stellen#1276
Verfahren#1268
Soldaten#1265
Diskussion#1261
Hilfe#1259
Investitionen#1251
Linken#1242
Lösung#1237
Bundeswehr#1234
Dinge#1231
Familien#1229
Dingen#1221
Sinne#1202
Zusammenhang#1200
Fraktion#1191
Flüchtlinge#1183
Entscheidung#1182
Zusammenarbeit#1180
Wochen#1173
Staaten#1127
Woche#1124
Legislaturperiode#1122
Schluss#1095
Richtung#1095
Forschung#1089
Opposition#1082
Hause#1078
Zahl#1075
Ausbildung#1074
Einsatz#1073
Chance#1050
Punkte#1047
Kosten#1035
Pflege#1028
Umsetzung#1026
Hand#1022
Herausforderungen#1018
Meinung#996
Grundlage#986
Bevölkerung#984
Regelung#980
Zahlen#977
Förderung#966
Erfolg#952
Regelungen#951
Sache#950
Monaten#944
Krise#938
Interesse#937
Vorschlag#934
Anfang#930
Herrn#925
Rolle#925
Daten#913
Beschäftigten#906
Rente#905
Digitalisierung#900
Grund#892
System#887
Ergebnis#887
Jahres#884
Eltern#880
SPD-Fraktion#871
Antwort#860
Schulen#859
Anspruch#848
Möglichkeiten#847
Leute#837
Raum#832
Bericht#831
Vertrauen#825
Soldatinnen#825
Anträge#816
Mindestlohn#814
Programm#811
Ausschuss#809
Infrastruktur#804
Mal#801
Kommission#797
Regionen#797
Versorgung#795
Kindern#784
