#frequency
Herr#4507
Herren#3636
Kollegen#3630
Damen#3624
Menschen#3208
Kolleginnen#3025
Frau#2722
Bundesregierung#2233
Präsident#1939
Antrag#1824
Liebe#1820
Frage#1657
Euro#1507
Demokraten#1459
Land#1348
Thema#1343
Prozent#1091
Kollege#1047
Minister#1004
Koalition#1001
Geld#987
Gesetzentwurf#945
Unternehmen#944
Präsidentin#912
Zukunft#907
Politik#894
Weg#893
Union#842
Gesetz#823
Debatte#799
Milliarden#792
Millionen#791
Problem#775
Regierung#762
Stelle#747
Grünen#699
Punkt#683
Bundestag#655
Haus#649
Verantwortung#623
Bürger#619
Haushalt#616
Welt#616
Seite#587
Maßnahmen#583
Ziel#572
Gesellschaft#570
Arbeit#563
Bereich#561
Parlament#553
Staat#543
Länder#541
Fraktion#540
Kinder#526
Digitalisierung#516
Sicherheit#496
Lage#487
Fall#487
Bildung#485
Probleme#469
Fragen#460
Wirtschaft#457
Leben#449
Aufgabe#448
Krise#440
Situation#435
Freiheit#429
Blick#423
Rede#416
Demokratie#413
Lösung#395
Bürgerinnen#387
Vorschlag#387
Soldaten#381
Meinung#380
Ländern#377
Linken#372
Bundeswehr#372
Woche#369
Schritt#369
Kollegin#369
Wochen#367
CO#364
Familien#361
Verfahren#359
Chance#357
Dinge#356
Vorschläge#352
Dingen#349
Frauen#348
Antwort#342
Einsatz#339
Sicht#337
Möglichkeit#334
Unterstützung#333
Stellen#332
Investitionen#329
Bund#315
Ort#312
Vertrauen#310
Schluss#308
Gegenteil#306
Ausschuss#300
Sache#298
Beitrag#297
Kosten#296
Staaten#294
Monaten#294
Entscheidung#291
Richtung#291
Bürokratie#290
Entwicklung#288
Grund#286
Verfügung#279
Wort#278
Schutz#278
Eltern#277
Klimaschutz#276
Zahlen#275
Chancen#274
Pandemie#273
Hause#267
Rahmen#264
Herrn#263
Hilfe#262
Kommunen#261
Reform#259
Raum#257
Zahl#257
Anträge#254
Jahres#254
Anfang#252
Wahrheit#250
Diskussion#250
Mal#249
Interesse#246
Bevölkerung#246
Punkte#242
Rechtsstaat#240
Schulen#240
Rolle#236
Lösungen#235
Anspruch#235
Region#233
Soldatinnen#233
Aufmerksamkeit#232
Eindruck#230
Art#230
Weise#230
System#228
Zusammenhang#222
Zeiten#221
Regeln#221
Umsetzung#219
Hand#218
Herausforderungen#215
Möglichkeiten#215
Leute#215
Zusammenarbeit#214
Ministerin#214
Strategie#213
Ergebnis#213
Ebene#213
Vergangenheit#211
Arbeitsplätze#211
§#211
Entscheidungen#208
Bundesrepublik#207
Wettbewerb#207
